特征一实部,特征一虚部,特征二,特征三,特征四四部,特征四虚部
12819,19648,735,3,15356,22423
6965,18279,828,4,4814,11210
27394,5670,718,3,-5457,4228
-2376,-8228,713,14,-2376,-8228
-2921,-693,723,7,-5110,13290
21273,-7858,716,9,-4064,-6926
16022,23054,730,13,15076,22672
15508,25150,845,11,-5195,11653
20555,-5929,726,6,-6031,14149
27408,12489,706,0,-6807,-888
13905,-11908,727,9,-10004,4412
28851,3130,714,6,257,-13278
26944,12126,711,0,-2971,3561
26499,7994,740,0,3092,19479
21547,-10412,712,5,-3273,-12114
17491,3320,824,1,14641,3704
-8621,11615,740,14,-8443,4062
7061,7818,727,8,8605,21956
21379,1480,703,4,-822,8506
24631,2452,736,8,-764,5437
-1736,18973,843,4,-5041,-126
9520,18906,704,6,11930,22367
22319,3782,834,0,7951,10019
25512,4059,834,2,13085,231
10694,17876,748,10,13220,21814
24149,-592,729,8,-4335,13970
21232,22780,846,13,7947,23358
19850,23838,843,15,-4022,-6070
18383,24705,830,15,5218,-12939
-635,-13204,714,14,-635,-13204
5433,-1780,739,5,-1059,6953
20470,23363,844,13,456,19476
-5765,-6319,827,8,11595,-14750
-2756,14288,730,14,-2756,14288
21493,22539,845,13,12694,23676
18188,23043,832,14,8403,16777
13272,18731,848,1,14280,19834
9923,-2573,733,5,-464,7396
2080,23095,728,14,2080,23095
4515,-6479,722,9,-5314,12751
-4448,-6428,842,3,-4448,-6428
6540,17518,736,11,7747,19794
9749,15312,722,3,12801,22264
16102,-7138,703,11,708,-4955
25616,10449,705,3,12336,137
23334,4662,733,3,2516,13707
21136,19521,834,0,21805,20002
17541,24548,848,12,-4771,12172
13304,25634,830,7,-4701,-56
19057,8630,709,1,8195,14896
26603,-1552,734,10,-7113,-1246
-2480,13184,748,12,-2480,13184
4215,24664,845,10,-8223,8503
9999,21814,716,12,10593,22327
11739,-13004,720,12,3096,-12736
10937,26361,835,9,-7427,-3625
-3420,4543,743,11,-3296,14034
12810,17827,733,2,16034,22570
7550,-3862,717,5,-2829,7408
11179,12466,728,1,12389,21746
24479,4923,710,10,5962,62
28991,2256,736,10,-20,-12403
18807,20672,843,11,15950,17236
-3214,-5771,842,1,-8405,5661
27229,162,726,4,-9809,5956
-3816,-2861,719,11,-6561,13980
15441,-2863,745,4,402,17432
2196,18085,720,14,2196,18085
26300,1255,712,6,-2831,-3565
5380,2322,839,1,2561,7619
14901,25195,826,12,-3537,708
8852,20331,829,4,5539,15279
-2840,169,715,12,-5418,5662
28694,5932,742,1,-8345,7032
9300,26578,827,7,10366,-14078
-2241,17081,847,8,-5270,4153
26900,9737,721,0,-572,16976
26960,12570,704,2,3704,-5392
22487,20390,843,5,21636,20167
28933,8804,725,3,-1352,-10885
-5139,18003,841,8,-9449,2533
7232,-14576,735,11,-7759,-5246
3460,-3,741,7,-457,6210
27374,9820,746,2,-1039,10357
28663,8614,712,8,12545,-13327
27052,-2885,748,6,-9790,72
9305,23354,848,4,2913,19162
17210,22450,747,14,17010,22381
19642,24030,839,13,-8698,4297
-11807,5441,712,13,10916,-13682
19380,-2345,729,10,-2169,13585
-2918,21823,708,15,-7480,667
22946,20559,847,13,20816,20361
7624,-7659,715,7,-4262,1989
17406,22777,741,13,16492,22424
14358,25617,824,14,6446,-11224
10803,24169,843,8,7048,23057
14591,22149,731,7,15248,22562
15412,24786,829,5,1068,18619
3941,2788,720,9,502,15072
17354,17340,848,2,18604,19392
6632,24122,830,6,-3718,12525
13695,18135,847,2,16976,21058
-10707,6837,747,12,-10707,6837
11186,19445,732,6,13906,22439
21341,1832,737,10,2952,6310
29565,6693,746,3,-8547,-5157
912,11210,826,3,912,11210
15033,25081,834,12,-803,-2019
807,16235,703,15,4073,3318
1312,756,717,11,-2381,12479
22919,4113,828,0,8173,8572
-3660,15383,746,11,336,21011
28084,4963,748,2,1468,23006
-1588,-3761,720,12,-5788,1988
28726,3779,729,8,-9931,-197
-10504,8428,738,14,-8908,-131
19737,-4909,727,10,-4188,15361
24204,570,829,0,1007,8504
6042,17890,835,6,6017,4777
16782,24906,837,14,-4067,625
22355,1209,716,8,-1688,11747
18568,22221,842,11,12669,19396
18008,23591,845,14,2409,11028
25231,3685,838,2,12043,710
12669,19396,842,3,12669,19396
26924,5476,730,3,-3592,7753
-1155,21835,840,10,-5339,-4723
29191,8774,741,1,-4763,-8357
26975,-3713,832,2,-6934,-2606
-7094,9848,828,4,3642,-10774
28954,4766,717,4,-2501,-11861
-6364,9309,829,4,4579,-10064
12173,23526,711,15,9859,22081
18655,24281,833,13,1857,-8555
9489,-11884,708,12,1591,-10716
13124,20896,732,10,15279,22674
15909,-3183,838,2,1773,14196
28678,8126,703,8,10641,-14657
26363,1695,718,4,-5934,2616
24252,5324,721,6,7519,1048
24028,724,843,0,2280,10203
13925,-1537,717,11,3894,2250
14576,22655,834,12,10682,4071
6327,18000,728,12,6972,19421
-3209,-10227,728,12,-10038,-2666
10232,21266,726,5,12010,22703
5757,5220,837,1,4064,9877
2528,21548,838,6,-2186,187
2152,1793,709,11,-1442,12217
10356,25803,735,15,2271,22828
4559,26067,746,15,-9945,7769
5913,18583,719,14,5913,18583
8429,-15321,724,7,-11271,-1831
27785,-777,723,6,-10570,-1345
750,22175,747,14,-1651,19637
18352,20137,831,10,17424,19158
12036,-7980,744,4,-508,21273
28588,9924,706,3,8651,-14723
27437,176,737,8,-9391,5290
-1752,-10983,727,12,-9058,-4200
-4802,22804,720,15,-9317,-5710
16855,22795,829,11,9350,17718
13760,-13846,741,5,-5870,-7750
26931,11001,705,0,-5025,10395
27645,13406,708,2,6758,-14720
13047,20863,843,4,10375,18293
27349,5280,708,3,-5821,3617
8602,23444,833,4,2531,19385
2755,-4211,839,1,-2937,3310
-4205,-1569,725,7,-6275,13581
25035,4407,832,2,13394,1462
15306,-13150,736,11,-566,-11102
4644,-8306,715,9,-7259,11565
18983,24447,830,15,-4191,-8093
334,24394,731,15,-9598,5394
-3882,9722,748,7,-2066,16323
1881,22093,839,10,-4572,2090
20363,23416,848,15,-5287,1014
16507,20716,836,6,14504,18837
-9773,-2583,706,13,17131,-11829
12610,-14146,725,7,-8085,-5837
15324,4073,837,0,9567,17408
24369,-686,713,10,-5200,4360
16963,-7904,726,6,-4560,17585
17317,24850,839,14,-7059,4511
6951,20139,848,4,2678,12213
20329,17640,848,2,20679,18686
9145,14057,729,4,11251,21476
-6823,5822,730,11,-3039,19511
19399,23128,832,13,5063,12495
26456,-2824,728,6,-10750,5426
13658,22160,748,14,13220,21814
26213,10902,734,0,2791,11031
18239,23418,828,15,10149,1809
22834,20606,846,13,20943,20178
13615,24565,849,10,7319,23049
27514,5830,706,8,629,-6827
19405,279,713,4,-403,12708
29657,1915,849,0,-6864,-4979
23757,7006,718,0,5746,20610
28767,4889,723,8,-7080,-5697
21483,18593,829,11,21480,17543
-1286,-12519,741,5,-12081,6116
4019,-10146,715,12,-3224,-6338
14763,-441,737,8,2556,17970
7684,-14506,716,12,-1612,-12445
29027,4926,741,3,-9523,2496
-1973,19599,835,4,-6396,1044
14602,23076,842,12,11149,1503
28569,1540,721,6,-5843,-8893
-602,2057,719,7,-2735,13101
25320,4708,706,10,5607,-2537
15319,23095,847,12,9970,2407
17120,-100,709,4,318,14741
25530,-1062,841,0,-2525,10432
21233,2821,722,4,1935,10080
4215,-2577,717,7,-2829,7408
14174,11333,835,0,14402,18798
26612,-1898,729,10,-10102,6279
13052,21735,734,9,14082,22490
-1989,11032,741,9,1590,20105
28343,10609,706,1,6525,-14329
18764,1548,728,10,2126,12134
15382,23023,824,11,7423,15204
26500,6951,709,8,5643,-3866
27543,-408,731,10,-10086,2597
14996,-236,733,5,4391,4080
12118,9883,747,0,14167,22850
1105,25616,733,15,-11755,8305
13108,3134,704,6,3522,14861
-3532,22665,725,15,-8198,-3998
27669,-653,845,0,-6379,7272
28449,7208,703,4,10251,-12767
4375,20155,849,3,4375,20155
22875,-4285,723,6,-7399,10163
16873,22524,826,11,10338,17676
7776,19535,843,8,4953,15342
4739,22293,716,15,-9,13653
28821,10920,736,2,-11539,1319
25444,3443,713,10,1994,-1679
15102,24956,844,7,-3426,6740
9601,15756,709,1,12541,22505
21848,4007,706,3,1298,12525
10028,-2986,721,7,625,3330
28315,9828,740,0,-4774,17459
24308,2665,843,0,5276,7410
4363,-8570,721,5,-7589,8778
20788,4961,709,1,4084,16102
13555,23236,825,5,4732,10244
25344,1077,707,4,-5424,3606
28627,6518,736,1,-7881,2897
3240,21442,829,6,-1809,3023
12036,20483,722,6,14252,22607
12097,13808,722,0,14322,22522
26324,1806,708,4,-5766,572
27334,9213,731,2,-2562,14751
26182,1852,827,0,1318,2880
14522,25784,848,11,-8783,1870
19511,22984,845,13,6303,5826
19828,-7298,729,6,-6182,16234
-583,21991,724,13,-6586,7049
26729,4247,711,8,-3009,-584
17286,25154,824,13,10385,-13722
19045,-11540,729,9,-10235,-2346
-683,23259,708,15,-8447,6475
6728,6820,745,10,6801,20225
18754,24314,830,15,1619,-7179
28122,12804,729,2,-3082,-9977
9387,-6655,826,1,1890,-2943
14376,24855,825,11,-1796,12127
21913,-1911,735,6,-2466,5448
27873,10535,716,2,-7403,7549
-1201,22316,711,15,-7132,3797
29325,4648,743,3,-10618,3028
20626,19917,835,2,21280,20314
21151,21356,835,12,18751,20740
28625,4284,743,1,-8226,12381
14336,23920,746,15,10881,22550
27949,1096,725,4,-10390,2608
-78,16596,745,12,-78,16596
16909,-3142,707,11,5171,-2259
6209,15855,736,9,7747,19794
-3988,1321,714,14,-3988,1321
9243,26276,825,11,6258,-13232
26868,-1765,736,4,-9965,4573
19671,-2205,728,10,-2317,13126
-2891,5728,723,12,-3720,10657
-3971,9407,737,7,-2409,15884
24689,7990,733,0,5374,19719
28669,4514,738,3,-8536,3769
-368,13339,827,1,1611,18218
3509,11304,732,9,5201,19533
14536,23051,714,13,13444,22429
-1682,9950,704,14,-1682,9950
28475,1873,724,4,-10900,-408
21488,-10241,715,11,87,-13029
20862,21802,834,15,14301,18735
27513,12472,707,2,110,-7907
3345,24422,729,13,-5170,15812
29152,5696,736,3,-8309,-2105
16332,4112,723,3,6337,18859
-470,11227,746,9,2513,19768
55,-9353,835,1,-8098,561
10787,-3394,723,7,879,2702
24008,-2821,729,4,-6320,13997
11349,1483,716,6,2817,16951
-8580,-4813,725,14,-8580,-4813
12053,-354,738,4,2760,18244
2225,25259,734,15,-9097,2545
16940,21712,830,10,14953,20682
2946,18037,732,15,4236,4878
28778,10994,741,2,-10264,1095
-6869,17762,717,13,-4287,-6199
29206,6482,716,8,-228,-14065
24206,2575,844,0,5229,7744
26264,134,713,4,-8532,4747
27559,10875,728,2,-4033,7492
10062,26372,834,5,2798,-13104
14552,22416,833,11,7969,9789
5947,23922,734,15,-1933,11841
19038,24359,840,13,-3090,-7983
-4081,-5140,726,12,-8554,2007
-2624,-1365,703,5,-5506,14567
3356,13920,731,5,5648,20091
14695,24185,835,5,1416,12990
25827,-2713,840,2,-3219,64
17620,24321,844,14,-2141,7589
12567,26249,838,7,-738,-11159
10532,24141,833,10,3356,20017
9602,25749,828,5,3487,-10109
20934,21324,837,11,18901,20762
16837,-10305,725,9,-8573,519
25381,1829,713,6,-675,-1439
-11265,14374,709,15,5802,-14612
12209,26061,839,11,-1202,-8878
22058,20483,842,9,21100,20187
24076,4562,731,8,1739,7560
15299,-7480,708,5,-2439,-2433
10738,18091,730,8,13746,22404
26101,-3401,739,6,-9139,753
17601,23397,845,7,7093,18648
198,25023,742,15,-6945,-5799
19447,24184,846,13,-5003,-7631
24602,7359,703,6,12917,66
15072,24950,848,9,-2427,15679
26466,-1542,740,8,-8810,10152
15246,-6017,745,4,-711,18763
28883,3122,715,6,87,-13029
26701,11872,716,2,1879,1055
29001,6269,716,8,-870,-12498
8475,810,715,14,8475,810
14652,222,849,0,7939,19419
6477,18440,827,8,4351,13782
11158,26431,837,11,1543,-11868
19541,17201,738,2,18022,18859
26987,6430,830,0,14187,-91
16721,23734,827,14,3669,10046
15279,-12623,737,5,-3346,-8813
-1204,17589,724,14,-1204,17589
22579,20393,843,7,21768,20135
7406,16891,703,6,10315,22142
12046,22618,716,14,12046,22618
25871,5787,718,8,2255,465
10069,26491,831,11,5586,-14050
19790,23928,846,13,-6551,-5091
7935,16583,725,4,11889,22676
-8387,14357,745,14,-9454,7005
15624,22357,742,7,15998,22525
-645,1244,713,14,-645,1244
17149,-8468,722,6,-5257,17499
5784,14808,845,6,10423,2014
29035,8100,724,1,-10900,-408
-3368,41,712,14,-3368,41
24894,-5486,744,6,-10085,5959
4923,19149,831,6,3335,4177
-421,18382,740,14,-1851,14914
17617,22238,831,11,11972,18491
20075,23316,833,15,3519,18144
18735,24260,833,13,-179,-7074
-977,4387,733,11,-1129,16273
20138,22914,834,15,6919,17171
10177,24283,744,13,4122,20163
18249,-3125,719,4,-1874,17229
14758,20975,832,10,12110,18602
4525,24208,736,14,2597,23004
-3448,15011,744,12,-3448,15011
11368,23186,847,1,13081,23704
15544,24769,830,5,1356,18944
13891,22443,849,10,9613,19720
22702,20301,846,11,21943,20076
19058,20131,841,10,18131,19314
15079,22274,832,14,13422,4580
25470,4805,706,6,7125,-3363
27638,6200,707,1,-7637,5840
17223,-3987,718,10,-2572,15280
27194,-1455,710,9,12165,-13577
12208,22389,843,11,10904,1654
663,19033,721,15,625,3330
12567,22731,725,13,10756,21232
28076,12772,730,0,-10681,-225
16206,24820,834,14,-767,-2308
22172,2671,740,4,2683,7383
13623,25750,845,9,-7920,8797
1381,12293,829,1,2642,16962
27617,10531,712,2,-6197,6386
23026,-993,849,0,1285,13719
29331,2581,747,3,-11235,11741
6505,23179,724,15,1135,16401
27993,10871,731,0,-5789,15110
14640,25580,845,5,-7920,8797
1645,13792,837,3,1645,13792
7294,17041,706,7,8122,19537
14572,-1580,715,11,4418,1573
17722,24857,826,13,9602,-13147
98,6494,829,8,5504,-3150
17291,23120,842,7,8111,17591
18351,21481,848,4,17090,21058
3237,26408,745,13,-11743,9976
2648,-5990,827,1,-3818,1436
15700,21278,725,15,15165,20259
16790,-12447,742,9,-6945,-5799
21120,-9911,713,11,378,-12490
16202,23044,732,13,15279,22674
20095,22960,841,13,5830,15633
29905,2421,825,2,13236,-14547
12811,4898,824,2,8353,15759
12459,25395,829,5,-4261,2914
-8388,8760,711,14,-8388,8760
6623,-8571,704,12,213,-6226
3769,18946,733,14,3769,18946
17828,22739,845,11,10352,18826
26920,-3210,743,10,-10624,1564
2545,-12527,735,7,-7884,-3066
2202,8074,838,3,2202,8074
24817,8377,724,0,4312,18819
2475,19825,843,4,-2115,6972
29458,5403,744,1,-11736,9153
28963,3234,726,8,-11920,366
19269,23225,836,15,5901,5098
8016,-2942,712,9,-2348,9576
18968,23448,824,15,3679,8960
21756,-5835,741,10,-6925,11350
26831,-3278,705,9,8482,-15231
28232,574,721,10,-9841,-3227
27903,-332,741,8,-11074,7004
17623,22902,748,15,16524,22527
26141,-35,737,8,-6917,6938
24278,-5002,744,10,-8983,8660
16095,24791,847,9,1557,20454
11278,18503,738,3,14517,22519
27502,5499,708,8,-627,-5862
5800,15565,834,6,8915,3097
7318,20788,741,11,9050,22281
27015,-446,744,8,-8988,8582
15452,-12478,732,9,-10864,3348
-4830,3275,727,11,-3515,17429
14795,24217,833,5,1648,14276
10485,19949,743,10,13665,22801
27560,7253,718,1,-5457,4228
13708,23319,832,7,5393,5448
13863,21905,729,9,14979,22660
15548,22244,743,5,16104,22524
12849,25161,834,11,-1294,766
16530,-4353,717,6,-2776,14856
3928,4302,735,14,7009,1681
-772,5187,722,5,-315,17299
1848,19849,737,12,1848,19849
-309,10233,745,9,2141,19144
18156,-3428,847,2,980,12860
26215,2428,720,8,-5696,5607
11832,23961,735,13,7923,21697
1686,16616,729,15,5333,2527
28306,10990,733,2,-8471,7970
12508,21387,826,6,8884,17243
25088,-5724,746,6,-10572,6777
18455,21657,843,6,16512,20985
8732,25735,831,9,1373,-9567
22343,21052,845,13,19266,20481
10754,21542,844,9,10650,1835
6295,22629,720,15,1543,15563
-2357,15695,719,14,-2357,15695
27160,11952,704,0,-5890,3637
20315,23372,846,15,-2783,8475
14523,711,705,6,1282,13680
25165,-6252,713,9,375,-13677
25963,8560,729,3,5325,2931
9491,17059,831,1,10533,18938
23662,-2893,733,8,-4002,17748
20943,22902,847,15,2626,18885
11479,6711,847,3,11479,6711
20989,22829,848,15,4950,19839
14523,22526,737,14,14165,22284
14477,8096,705,6,8023,14299
28384,10536,738,0,-7090,14809
29049,9763,733,1,-6329,-8956
26287,12973,731,0,5395,4282
20781,-11583,728,9,-10757,-4592
-8062,7281,709,14,-8062,7281
19158,23917,848,14,1919,20724
16844,23782,842,12,2244,9790
21475,19584,848,9,20679,18686
5413,15919,725,7,6798,19558
20874,20812,843,12,18269,19335
4746,2953,747,6,4822,20581
-6755,12604,736,14,-6888,6175
27127,-1244,841,0,-5830,8756
6446,-12812,730,5,-10607,7298
-1511,18036,747,12,-1511,18036
21281,21353,837,14,18616,20552
26790,11502,744,2,4684,4002
13467,25529,841,11,-3740,-410
29289,6706,742,1,-10414,2913
28243,1411,830,0,-3421,-1106
27735,12742,711,2,411,-11351
1583,22926,842,6,-5261,-2338
28869,5064,706,6,8651,-14723
27507,3125,709,3,-8522,9636
21083,-6980,849,2,-4562,12815
28855,7502,709,8,5802,-14612
12188,22206,709,12,12541,22505
25132,-1934,721,4,-8222,11063
-4103,11824,705,15,7678,-4735
27418,-842,708,9,13803,-13215
10368,24117,834,10,2845,19677
-1528,-5336,723,7,-7399,10163
11848,23653,746,15,6944,19822
17505,18532,720,11,17302,18941
774,24553,732,15,-9554,6482
2333,17007,725,14,2333,17007
25581,5707,747,1,631,10818
10457,11092,729,2,13637,22873
25648,7641,728,2,1878,17574
15414,23060,842,9,6198,15301
24400,1602,716,6,-481,916
28771,7364,712,4,10916,-13682
14834,-1015,719,6,380,14717
-2083,13273,737,11,531,18969
21000,21265,842,15,15868,17183
-8322,7850,743,12,-8322,7850
19190,21223,828,10,18152,20767
19534,-8865,746,6,-7388,14423
14513,24800,846,9,-1804,13282
16688,24071,845,5,4132,19116
26596,7635,706,1,-1802,2509
16109,8208,711,8,8294,15180
27393,10992,706,2,-5270,2914
29244,7308,737,1,-9001,-2331
24999,9489,730,1,6968,6928
28804,7065,714,4,9131,-13724
24601,140,719,8,-5211,11422
770,-10314,709,14,770,-10314
15653,21402,840,10,13206,19553
785,-12848,712,14,785,-12848
21851,17955,840,6,21892,17485
21982,20608,848,5,20741,20252
21711,3300,726,8,2023,11474
-2755,-6626,730,5,-7517,15303
27859,8239,736,2,-3224,15338
28945,7810,721,3,-5811,-7311
12837,25582,840,11,-2236,-4736
11054,-2877,748,10,1179,18348
10268,21049,716,9,12046,22618
18421,22991,848,12,7100,16720
23188,20303,845,13,21964,19991
-2699,9308,720,12,-2581,13561
-1254,18630,735,14,-2889,15005
3310,-461,740,11,-1127,7458
10304,3818,743,8,6402,19908
15437,24815,835,5,80,17641
27626,-529,739,4,-9619,1314
1895,15105,743,11,3822,19228
9278,22463,848,4,3765,17775
12845,-6532,744,4,-296,20435
-8691,2440,738,12,-8691,2440
23513,-7580,707,11,6283,-13915
2439,14266,708,7,3925,18959
16391,24493,831,7,1939,18755
26743,6306,719,1,-3853,8348
21112,21349,824,14,18989,20624
17260,23333,847,9,8842,20322
11972,21945,842,5,10543,2488
19007,24076,831,15,-578,-1790
-13560,9010,703,13,5768,-15506
28389,11776,729,2,-10262,-705
10670,3309,709,14,10670,3309
8375,17198,707,10,11101,22164
21378,17419,825,1,21337,17558
13161,25033,846,9,-3689,5723
583,-5250,731,9,-4898,16229
1202,23701,843,6,-7171,-3035
-6452,12821,725,14,-6452,12821
18869,17239,708,0,16807,18935
16172,24041,842,5,3459,17568
12649,22981,835,5,6017,4777
28823,2302,748,8,-9790,72
1127,-10068,718,7,-9655,6149
-1170,14831,849,3,-1170,14831
-1210,22441,725,13,-8138,6239
28941,3097,708,6,636,-14211
-1336,9038,726,11,756,18506
9089,-12513,717,7,-7983,-1918
15890,24177,838,7,1773,14196
8961,19087,710,11,10145,21012
10034,20957,838,10,5666,14253
20205,23700,843,15,-8390,6631
14213,21280,844,8,12491,20185
16279,-6770,724,9,-3415,1334
25730,-4512,709,7,14967,-12740
10868,25293,827,11,2742,-5948
18287,24019,849,11,7319,23049
17247,-7990,732,4,-1705,21322
-6055,12232,831,4,1321,-8866
7529,25823,735,15,-3615,18067
26572,7350,711,1,-2152,4102
2077,25918,740,15,-10485,194
3429,15322,839,8,2561,7619
14683,-4938,711,7,2857,-2491
3341,14691,732,7,5201,19533
12688,21606,719,9,13914,22566
29120,7990,714,3,-5100,-10625
2837,25466,746,13,-9857,7167
22708,679,732,3,482,18346
27725,1377,719,6,-4916,-6099
27456,-564,720,6,-8985,-2020
26776,8798,721,1,1366,1778
13392,23228,824,5,4724,9920
4959,21313,709,13,1763,14959
17600,18369,720,9,17302,18941
20910,21475,831,12,18401,20771
17219,-11867,709,7,-1961,-10612
11150,-8439,705,5,-5230,1546
9401,21080,836,8,6521,18381
-3339,19951,737,14,-5748,15882
-2949,23999,724,15,-11257,-1650
-505,-11947,740,7,-9747,-475
-2589,6650,715,12,-3210,11154
28465,6599,710,8,1901,-11250
-6482,20842,720,15,-5076,-9660
13706,23292,839,9,4100,10618
14416,493,729,4,3026,18003
7734,18882,848,6,6033,6758
27715,13910,727,0,-468,-12965
16935,23488,840,14,5494,6410
6763,-8918,712,9,-7613,9484
-968,13961,713,14,-968,13961
28202,12386,724,2,-7365,-6698
27822,5943,745,1,-4115,7302
2081,19345,737,14,815,16796
-1785,9460,826,3,-1785,9460
13518,25959,827,12,3880,-12421
13513,21154,738,10,15438,22607
-5136,-2346,716,14,-5136,-2346
26970,13031,705,0,-941,-4109
11660,26535,840,11,-199,-11805
27534,13376,716,0,-2913,-8190
10042,23396,830,6,2853,17266
27667,-174,747,8,-9738,8019
-1294,17950,721,14,-1294,17950
7642,-2082,748,10,2389,20139
10252,20256,715,9,11918,22110
29100,8397,729,1,-10235,-2346
12939,19541,844,3,12939,19541
-1549,17237,826,10,1628,-4448
22223,20675,843,12,20537,20425
11574,25245,825,7,2320,-4203
19557,23126,828,15,6189,14449
15397,-3338,719,5,1943,883
28308,5548,707,4,2910,-11383
4537,-7901,719,5,-7198,8749
26196,6942,709,8,5760,-2668
27658,13755,724,0,169,-11725
-3434,22225,719,15,-7957,-2614
28485,11382,734,2,-7388,-3029
9939,-11728,732,11,-8047,1171
19386,-2677,726,8,-714,18269
10199,21356,712,11,11530,22507
4630,4996,710,9,1897,15264
9257,24304,837,10,699,18423
10608,3398,840,1,7670,6388
5515,2465,745,10,4770,20742
18120,23989,844,12,2915,18837
28042,12590,719,2,-5202,-9992
-179,3008,718,5,-1335,15891
-3851,-6488,829,3,-3851,-6488
26882,9240,711,2,-2829,12826
26918,1396,715,10,-4706,-3078
25688,1547,710,10,-2630,-1185
22610,20738,836,13,20670,20341
27093,3822,714,8,-4829,-304
26378,-1834,733,10,-9658,7316
7409,9357,745,3,10727,22496
27771,3476,830,0,5127,-2800
28392,11952,736,0,-10317,2305
20104,2182,740,1,4095,18566
14327,24696,832,9,-327,15527
-12026,8069,743,12,-12026,8069
17233,24183,838,14,228,8529
14951,22347,738,11,15438,22607
8574,14215,710,10,10145,21012
21640,17961,835,6,21699,17483
18941,17591,740,3,18085,18867
25801,2733,720,4,-2905,2472
17595,20277,829,1,17922,20562
12823,21955,741,14,12387,21527
9783,9383,703,4,7747,19194
-9446,10606,743,12,-9446,10606
14419,20703,835,4,12517,18887
10836,3893,833,3,10836,3893
4355,16848,738,11,5997,19830
78,16264,736,12,78,16264
13750,22883,730,14,13750,22883
21726,6583,736,2,7525,19274
23457,1657,836,0,4044,9516
11794,25836,830,7,1265,-7955
-3348,11072,703,15,8534,-3894
18531,21698,833,7,14199,18687
10933,17346,718,1,13892,22483
8446,2139,728,9,2126,12134
16064,-8050,727,6,-4120,18300
27535,2440,726,3,-7135,14468
21169,22814,845,13,7662,23265
9169,19142,723,11,10474,21124
-707,23971,726,15,-9888,3536
18560,-9319,748,6,-6750,15592
26243,8540,731,0,2735,19692
8434,1035,741,10,3382,18776
28567,2417,834,0,-855,-3876
18052,24106,830,14,1664,18434
6010,21008,828,10,1004,9974
27319,2681,741,1,-4895,15752
1516,21675,840,4,-5912,7979
19107,-12182,715,7,-1607,-12677
20270,203,731,3,2735,19692
-3699,1417,712,12,-5783,6999
17807,22685,847,5,10665,19072
22021,20659,845,5,20660,20388
21596,10359,731,0,9911,17726
10243,-6495,720,11,-2905,2472
9214,25814,747,13,193,21796
2287,-7515,735,5,-6826,5397
20706,-10971,729,11,-2704,-11394
-11412,11724,704,15,8379,-13616
3712,21219,848,4,-2662,9753
-3555,-8254,721,12,-9351,-1089
1306,774,733,7,-2203,12076
27809,9855,733,2,-4363,13429
16780,19150,841,10,15788,17134
18717,17997,747,6,18294,18900
21716,229,737,6,962,5026
29025,6717,740,1,-9162,2527
-8055,5324,841,3,-8055,5324
13068,22260,714,12,13351,22509
28991,8320,722,1,-10228,-2278
11431,19672,734,4,14082,22490
26020,-413,741,1,-2031,20598
20708,-3550,824,0,57,16172
25876,-1736,729,6,-8440,4701
3490,-14447,736,5,-11627,1142
26837,10344,721,0,-1825,14282
15781,-9918,742,6,-5765,17127
10753,25575,828,11,2835,-7802
8219,19753,841,6,4870,8603
15927,-13410,728,5,-10326,-2993
2210,13895,844,1,3954,18173
23755,-6423,743,10,-9446,10606
20570,-10183,711,7,2519,-13038
20375,23321,840,15,1789,17532
5288,-2017,841,2,4998,21323
7738,20929,745,14,6787,19676
24997,2390,725,1,-972,17953
-8744,10428,835,4,3299,-12679
12581,-13654,739,9,-9391,-1855
5791,14388,740,10,9919,22243
17239,22844,744,13,16209,22434
25830,13446,703,2,12115,-414
25955,8085,729,1,1875,6788
15022,24735,824,11,57,16172
25542,-3204,738,10,-8734,3516
6924,10039,829,4,11531,3244
21511,-3528,723,6,-5257,10685
19366,23672,824,15,1641,15242
-8055,-5309,748,7,-10897,8529
22487,1269,708,4,-1875,7929
5855,-4724,716,11,-3713,6566
4574,1103,740,11,569,7943
28958,9461,748,2,-8064,14247
28720,5387,714,6,9279,-13515
10930,-2483,737,6,256,16620
6256,12022,832,1,6644,15443
19925,-5019,718,6,-5700,12835
4061,20393,847,3,4061,20393
1945,25664,747,13,-11153,5522
25958,8558,735,0,2195,17149
28996,2822,825,0,325,-7299
28255,12231,718,2,-8071,-7508
13054,-148,711,12,9666,256
-146,4894,742,9,-297,16379
25054,-5327,705,5,8137,-14039
19812,19157,829,4,19568,18667
-5641,16981,830,6,6262,-12609
21235,224,715,4,-1765,11279
19574,21464,846,7,15505,19275
28548,3585,735,3,-9221,6015
24605,-6460,714,9,-151,-12583
15854,22830,824,5,8581,16899
11706,-13394,748,9,-9646,679
19878,-10641,726,9,-9003,-3642
14400,22556,728,12,14711,22729
14890,8758,708,0,11015,21786
12751,26199,827,12,9228,-14608
15441,23078,848,12,9733,2600
2740,-10882,733,7,-9487,5844
19578,22929,829,13,8025,16223
15274,25518,843,7,-8074,7079
16220,23436,843,9,6658,18202
21590,-3414,726,10,-4875,12384
-2618,19285,738,12,-2618,19285
19114,23340,829,13,3710,10761
2101,23562,732,13,-5794,12407
-1774,53,824,1,-4436,8538
28054,-456,740,6,-5373,-7402
26781,11356,706,2,-924,1486
20081,-2907,725,6,-3550,11763
28998,861,833,0,-7345,-1696
27935,2942,709,6,770,-10314
18042,-11995,727,7,-2825,-10387
19231,-2216,841,0,3220,17249
11143,12286,704,2,12170,22311
23060,20025,843,12,22336,19755
13485,10301,738,4,10325,17393
